ACOPLMN	0	DIVERS	1	2	
AIRCOMPRIM	0	DIVERS	1	2	
ALTERNATOR	0	ALTERNATOR	1	2	
BLN	0	DIVERS	1	2	
COURROIE	0	DIVERS	1	2	
DVR	0	DIVERS	1	2	
ELEC	0	PIECES ELECTRIQUE	1	2	
ETANCHIETE	0	DIVERS	1	2	
FA	0	FILTRE A AIR	1	2	
FFG	0	FUEL FILTER CARTRIDGE	1	2	
FF	0	FUEL FILTRE	1	2	
FHG	0	FILTRE HYDRAULIC CARTRIDGE 	1	2	
FHS	0	FILTRE HYDRAULIC SPIN-ON	1	2	
FH	0	FILTRE HYDRAULIQUE	1	2	
FILTRES	0	FILTRES	1	2	
FLG	0	LUBE FILTER CARTRIDGE 	1	2	
FLS	0	LUBE FILTER SPIN-ON	1	2	
FR	0	FILTRE RENIFLEUR	1	2	
FS	0	FILTRE SEPARATEUR	1	2	
FW	0	WATER FILTRE	1	2	
JCB	0	JCB	1	2	
PDR	0	DIVERS	1	2	
PDZ	0	PIECES D'USURE	1	2	
PUMP	0	PUMP	1	2	
SEPARATEUR	0	SEPARATEURS COMPRESSEURS	1	2	
SERVICES	0	SERVICES	1	0	
SOLDE	0	SOLDE	1	0	
TRDRL	0	TRAIN DE ROULEMENT 	1	2	
TURBO	0	TURBO CHARGER -8414803000-	1	2	
